Benchmark Number,AK State Job Title Only,AK State Occupational Group,AK State Job Class Code,AK State Job Family,AK State BU,AK State Schedule,AK State Pay Range,AK State Annual Range Minimum (Step A),Combined Market 65th Percentile MINIMUM,AK State as a % of Combined Market 65th Percentile MINIMUM,% Difference (State minus Market)/Market)
316,Forensic Science Laboratory Administrator 1,"Legal, Judicial, and Related",PI0405,PI04 - Evidence Investigation,SS,100,22,95326,74533,1.28,28
317,Forensic Scientist 3 - Chemistry,"Legal, Judicial, and Related",PI0413,PI04 - Evidence Investigation,GP,100,22,88121,73163,1.20,20
318,Fingerprint Technician 2,"Legal, Judicial, and Related",PI0421,PI04 - Evidence Investigation,GP,100,16,58481,58032,1.01,1
319,Investigator 2,"Legal, Judicial, and Related",PI0432,PI04 - Evidence Investigation,GP,200,16,57974,68557,0.85,-15
320,Special Investigator 1,"Legal, Judicial, and Related",PI0436,PI04 - Evidence Investigation,GP,200,19,71526,72276,0.99,-1
321,Forensic Scientist 3 - Physical,"Legal, Judicial, and Related",PI0442,PI04 - Evidence Investigation,GP,100,22,88121,84823,1.04,4
322,Forensic Scientist 3 - DNA,"Legal, Judicial, and Related",PI0453,PI04 - Evidence Investigation,GP,100,22,88121,84823,1.04,4
323,Forensic Technician 2,"Legal, Judicial, and Related",PI0460,PI04 - Evidence Investigation,GP,100,15,54483,62133,0.88,-12
324,Medicolegal Investigator 2,"Legal, Judicial, and Related",PI0464,PI04 - Evidence Investigation,GP,200,16,57974,65300,0.89,-11
325,Criminal Intelligence Analyst 2,"Legal, Judicial, and Related",PI0472,PI04 - Evidence Investigation,GP,100,17,62654,68407,0.92,-8
326,Recorder Supervisor,"Legal, Judicial, and Related",PI0505,PI05 - Legal Document Processing,SS,200,16,63461,69137,0.92,-8
327,Recorder Manager,"Legal, Judicial, and Related",PI0517,PI05 - Legal Document Processing,SS,200,18,72925,88237,0.83,-17
328,Motor Vehicle Customer Service Representative 1,"Legal, Judicial, and Related",PI0531,PI05 - Legal Document Processing,GP,200,10,39410,41354,0.95,-5
329,Motor Vehicle Office Manager 1,"Legal, Judicial, and Related",PI0541,PI05 - Legal Document Processing,SS,200,15,59093,63405,0.93,-7
330,DMV Program Manager,"Legal, Judicial, and Related",PI0555,PI05 - Legal Document Processing,SS,200,21,89232,75179,1.19,19
331,Recorder 1,"Legal, Judicial, and Related",PI05A1,PI05 - Legal Document Processing,GP,200,12,44402,55885,0.79,-21
255,Health Program Manager 2,"Medical, Public Health and Related",PG0122,PG01 - Health Administration,GP,200,19,71526,91726,0.78,-22
256,Public Health Specialist 2,"Medical, Public Health and Related",PG0132,PG01 - Health Administration,GP,200,20,76440,88058,0.87,-13
257,Public Health Informaticist 2,"Medical, Public Health and Related",PG0134,PG01 - Health Administration,GP,200,20,76440,96220,0.79,-21
258,Medical Information and Services Assistant,"Medical, Public Health and Related",PG0140,PG01 - Health Administration,GP,100,10,39683,46002,0.86,-14
259,Dietitian 2,"Medical, Public Health and Related",PG0177,PG01 - Health Administration,GP,200,20,76440,76050,1.01,1
260,Assisted Living Aide,"Medical, Public Health and Related",PG0210,"PG02 - Nursing, Assistive",GP,100,9,37421,39711,0.94,-6
261,Certified Nurse Aide 1,"Medical, Public Health and Related",PG0211,"PG02 - Nursing, Assistive",GP,100,11,42296,42924,0.99,-1
262,Psychiatric Nursing Assistant 3,"Medical, Public Health and Related",PG0233,"PG02 - Nursing, Assistive",GP,100,12,44850,45705,0.98,-2
263,Licensed Practical Nurse,"Medical, Public Health and Related",PG0301,"PG03 - Nursing, Professional",GP,100,17,62654,59064,1.06,6
264,Nurse 2,"Medical, Public Health and Related",PG0312,"PG03 - Nursing, Professional",GP,100,22,88121,80873,1.09,9
265,Psychiatric Nurse 2,"Medical, Public Health and Related",PG0322,"PG03 - Nursing, Professional",GP,100,23,94283,94170,1.00,0
266,Corrections Nurse 1,"Medical, Public Health and Related",PG0326,"PG03 - Nursing, Professional",GP,100,22,88121,85092,1.04,4
267,Public Health Nurse 2,"Medical, Public Health and Related",PG03A2,"PG03 - Nursing, Professional",GP,200,23,93386,101725,0.92,-8
268,Nurse Consultant 1,"Medical, Public Health and Related",PG03B1,"PG03 - Nursing, Professional",GP,200,24,99977,116913,0.86,-14
269,Physician Assistant/Advanced Practice Registered Nurse 1,"Medical, Public Health and Related",PG0421,"PG04 - Medical, Professional",GP,100,26,112164,138142,0.81,-19
270,Mental Health Clinician 2,"Medical, Public Health and Related",PG0512,PG05 - Mental and Behavioral Health Services,GP,100,19,72189,75630,0.95,-5
271,Disease Intervention Specialist 1,"Medical, Public Health and Related",PG0601,PG06 - Special Health Services,GP,200,18,66788,88646,0.75,-25
272,Epidemiology Specialist 2,"Medical, Public Health and Related",PG0604,PG06 - Special Health Services,GP,200,20,76440,84756,0.90,-10
273,Dental Assistant,"Medical, Public Health and Related",PG0621,PG06 - Special Health Services,GP,100,13,47736,46845,1.02,2
274,Dental Hygienist,"Medical, Public Health and Related",PG0622,PG06 - Special Health Services,GP,100,21,82544,85165,0.97,-3
275,Pharmacy Technician 1,"Medical, Public Health and Related",PG06A1,PG06 - Special Health Services,GP,200,12,44402,45434,0.98,-2
276,Occupational Therapist 1,"Medical, Public Health and Related",PG0651,PG06 - Special Health Services,GP,100,21,82544,103995,0.79,-21
277,Recreation Therapist 2,"Medical, Public Health and Related",PG0682,PG06 - Special Health Services,SS,100,16,63461,70167,0.90,-10
278,Laboratory Technician,"Medical, Public Health and Related",PG0730,PG07 - Health Laboratory and Related,GP,200,13,47307,49974,0.95,-5
279,Microbiologist 2,"Medical, Public Health and Related",PG0742,PG07 - Health Laboratory and Related,GP,200,16,57974,72228,0.80,-20
280,Public Health Microbiologist 1,"Medical, Public Health and Related",PG0751,PG07 - Health Laboratory and Related,GP,200,17,62069,66011,0.94,-6
355,Hydrologist 2,Physical Sciences and Engineering,PK0112,PK01 - Physical Science Specialists,GP,200,19,71526,84930,0.84,-16
356,Chemist 3,Physical Sciences and Engineering,PK0123,PK01 - Physical Science Specialists,GP,200,18,66788,93635,0.71,-29
357,Geologist 2,Physical Sciences and Engineering,PK0132,PK01 - Physical Science Specialists,GP,200,17,62069,75707,0.82,-18
358,Geological Scientist 1,Physical Sciences and Engineering,PK0137,PK01 - Physical Science Specialists,GP,200,22,87341,121320,0.72,-28
359,Engineering Geologist 2,Physical Sciences and Engineering,PK0142,PK01 - Physical Science Specialists,GP,200,18,66788,79056,0.84,-16
360,Environmental Program Technician,Physical Sciences and Engineering,PK0201,PK02 - Environmental Science Specialists,GP,200,13,47307,54274,0.87,-13
361,Environmental Program Specialist 3,Physical Sciences and Engineering,PK0213,PK02 - Environmental Science Specialists,GP,200,18,66788,80729,0.83,-17
362,Environmental Program Manager 2,Physical Sciences and Engineering,PK0222,PK02 - Environmental Science Specialists,SS,200,22,95326,112204,0.85,-15
363,Environmental Impact Analyst 2,Physical Sciences and Engineering,PK0242,PK02 - Environmental Science Specialists,GP,200,17,62069,67668,0.92,-8
364,Environmental Impact Analysis Manager 1,Physical Sciences and Engineering,PK0251,PK02 - Environmental Science Specialists,GP,200,21,81764,88037,0.93,-7
365,Engineering Associate,Physical Sciences and Engineering,PK0305,"PK03 - Engineering, Unlicensed",GP,200,21,81764,76775,1.06,6
366,"Engineering Associate 1, DEC",Physical Sciences and Engineering,PK0333,"PK03 - Engineering, Unlicensed",GP,200,21,81764,86422,0.95,-5
367,Communications Engineering Associate 2,Physical Sciences and Engineering,PK0352,"PK03 - Engineering, Unlicensed",GP,100,23,94283,103659,0.91,-9
368,Engineer/Architect 1,Physical Sciences and Engineering,PK0411,"PK04 -Engineering, Licensed",GP,200,22,87341,91625,0.95,-5
369,Engineer/Architect 3,Physical Sciences and Engineering,PK0413,"PK04 -Engineering, Licensed",SS,200,25,116688,104694,1.11,11
370,"Engineer 1, DEC",Physical Sciences and Engineering,PK0435,"PK04 -Engineering, Licensed",GP,200,22,87341,99156,0.88,-12
371,Village Safe Water Engineer 1,Physical Sciences and Engineering,PK0443,"PK04 -Engineering, Licensed",GP,200,22,87341,98396,0.89,-11
372,Communications Engineer 1,Physical Sciences and Engineering,PK0453,"PK04 -Engineering, Licensed",GP,200,24,99977,117106,0.85,-15
373,Technical Engineer 1 / Architect 1,Physical Sciences and Engineering,PK0471,"PK04 -Engineering, Licensed",GP,200,24,99977,112662,0.89,-11
374,Vessel Construction Manager 1,Physical Sciences and Engineering,PK0611,PK06 - Vessel Construction,GP,200,21,81764,,,
375,Land Surveyor 1,Physical Sciences and Engineering,PK0711,PK07 - Land Surveying,GP,200,21,81764,84970,0.96,-4
376,Land Survey Manager 1,Physical Sciences and Engineering,PK0714,PK07 - Land Surveying,SS,200,23,101795,95971,1.06,6
377,"Survey, Journey",Physical Sciences and Engineering,PK0743,PK07 - Land Surveying,LL,2AA,54,57200,64040,0.89,-11
378,Drafting Technician 3,Physical Sciences and Engineering,PK0803,PK08 - Cartography and Drafting,GP,200,15,53957,59546,0.91,-9
332,State Trooper,"Police, Fire Fighters, and Corrections",PJ0103,PJ01 - Law Enforcement,AA,100,77,91603,80662,1.14,14
333,"Sergeant, Department of Public Safety","Police, Fire Fighters, and Corrections",PJ0105,PJ01 - Law Enforcement,AA,100,79,106122,101519,1.05,5
334,Lieutenant - Department of Public Safety,"Police, Fire Fighters, and Corrections",PJ0106,PJ01 - Law Enforcement,SS,C00,24,126485,109271,1.16,16
335,Court Services Officer,"Police, Fire Fighters, and Corrections",PJ0121,PJ01 - Law Enforcement,AA,500,74,69659,70359,0.99,-1
336,Airport Police & Fire Officer 2,"Police, Fire Fighters, and Corrections",PJ0222,PJ02 - Fire Fighting and Inspection,AP,100,77,89378,78266,1.14,14
337,Airport Police & Fire Officer 4,"Police, Fire Fighters, and Corrections",PJ0224,PJ02 - Fire Fighting and Inspection,AP,100,79,103542,,,
338,Fire Training Specialist,"Police, Fire Fighters, and Corrections",PJ0231,PJ02 - Fire Fighting and Inspection,GP,100,19,72189,83802,0.86,-14
339,Deputy Fire Marshal 3,"Police, Fire Fighters, and Corrections",PJ0241,PJ02 - Fire Fighting and Inspection,SS,100,23,101795,110879,0.92,-8
340,Building Plans Examiner 1,"Police, Fire Fighters, and Corrections",PJ0250,PJ02 - Fire Fighting and Inspection,GP,100,19,72189,70608,1.02,2
341,Deputy Fire Marshal 2,"Police, Fire Fighters, and Corrections",PJ02A2,PJ02 - Fire Fighting and Inspection,AA,500,77,86882,98124,0.89,-11
342,Correctional Officer 2,"Police, Fire Fighters, and Corrections",PJ0312,PJ03 - Corrections,GC,100,13,65411,68229,0.96,-4
343,Correctional Officer 4,"Police, Fire Fighters, and Corrections",PJ0316,PJ03 - Corrections,GC,100,15,74933,69035,1.09,9
344,Correctional Supervisor,"Police, Fire Fighters, and Corrections",PJ0317,PJ03 - Corrections,SS,L00,18,73632,78792,0.93,-7
345,Correctional Superintendent 1,"Police, Fire Fighters, and Corrections",PJ0324,PJ03 - Corrections,SS,L00,19,78749,99104,0.79,-21
346,Juvenile Justice Counselor 2,"Police, Fire Fighters, and Corrections",PJ03A2,PJ03 - Corrections,GZ,100,14,54309,57226,0.95,-5
347,Juvenile Justice Unit Supervisor,"Police, Fire Fighters, and Corrections",PJ0345,PJ03 - Corrections,SS,100,18,72925,71494,1.02,2
348,Juvenile Justice Superintendent 1,"Police, Fire Fighters, and Corrections",PJ0351,PJ03 - Corrections,SS,100,20,83470,79534,1.05,5
349,Adult Probation Officer 2A,"Police, Fire Fighters, and Corrections",PJ04A2,PJ04 - Probation and Parole,GP,100,17,62654,65127,0.96,-4
350,Adult Probation Officer 2B,"Police, Fire Fighters, and Corrections",PJ04A3,PJ04 - Probation and Parole,GP,100,18,67412,73257,0.92,-8
351,Pretrial Services Officer 2,"Police, Fire Fighters, and Corrections",PJ04B2,PJ04 - Probation and Parole,GP,100,18,67412,67656,1.00,0
352,"Pretrial, Probation and Parole Administrator 1","Police, Fire Fighters, and Corrections",PJ04C1,PJ04 - Probation and Parole,SS,100,21,89232,110179,0.81,-19
353,Juvenile Probation Officer 2,"Police, Fire Fighters, and Corrections",PJ0452,PJ04 - Probation and Parole,GP,100,16,58481,67069,0.87,-13
354,Juvenile Probation Officer 3,"Police, Fire Fighters, and Corrections",PJ0453,PJ04 - Probation and Parole,SS,100,18,72925,69917,1.04,4
208,Child Support Enforcement Specialist 1,"Social, Benefit, and Employment Services",PF01A1,PF01 - Public Programs,GP,200,16,57974,56752,1.02,2
209,Child Support Enforcement Specialist 3,"Social, Benefit, and Employment Services",PF01A3,PF01 - Public Programs,SS,200,20,83470,78365,1.07,7
210,Eligibility Technician 2,"Social, Benefit, and Employment Services",PF0112,PF01 - Public Programs,GP,200,14,50466,49623,1.02,2
211,Eligibility Technician 4,"Social, Benefit, and Employment Services",PF0114,PF01 - Public Programs,SS,200,17,67995,67885,1.00,0
212,Eligibility Quality Control Technician 1,"Social, Benefit, and Employment Services",PF0116,PF01 - Public Programs,GP,200,16,57974,60587,0.96,-4
213,Eligibility Quality Control Technician 2,"Social, Benefit, and Employment Services",PF0117,PF01 - Public Programs,SS,200,18,72925,72524,1.01,1
214,Eligibility Office Manager 1,"Social, Benefit, and Employment Services",PF0118,PF01 - Public Programs,GP,200,18,66788,67660,0.99,-1
215,Eligibility Office Manager 2,"Social, Benefit, and Employment Services",PF0119,PF01 - Public Programs,SS,200,19,78000,77666,1.00,0
216,Medicaid Program Associate,"Social, Benefit, and Employment Services",PF0120,PF01 - Public Programs,GP,200,14,50466,48909,1.03,3
217,Medicaid Program Specialist 2,"Social, Benefit, and Employment Services",PF0122,PF01 - Public Programs,GP,200,18,66788,84472,0.79,-21
218,Medicaid Program Specialist 5,"Social, Benefit, and Employment Services",PF0125,PF01 - Public Programs,SS,200,22,95326,96827,0.98,-2
219,PFD Technician 2,"Social, Benefit, and Employment Services",PF0132,PF01 - Public Programs,GP,200,12,44402,48622,0.91,-9
220,PFD Specialist 1,"Social, Benefit, and Employment Services",PF0136,PF01 - Public Programs,SS,200,16,63461,,,
221,PFD Manager,"Social, Benefit, and Employment Services",PF0139,PF01 - Public Programs,SS,200,22,95326,,,
222,Public Assistance Analyst 2,"Social, Benefit, and Employment Services",PF0152,PF01 - Public Programs,GP,200,18,66788,76155,0.88,-12
223,Public Assistance Field Services Manager 2,"Social, Benefit, and Employment Services",PF0154,PF01 - Public Programs,SS,200,21,89232,88665,1.01,1
224,Public Assistance Programs Officer,"Social, Benefit, and Employment Services",PF0157,PF01 - Public Programs,SS,200,21,89232,79856,1.12,12
225,Workers' Compensation Technician,"Social, Benefit, and Employment Services",PF0160,PF01 - Public Programs,GP,200,12,44402,60857,0.73,-27
226,Workers' Compensation Officer 2,"Social, Benefit, and Employment Services",PF0162,PF01 - Public Programs,GP,200,18,66788,67919,0.98,-2
227,Social Services Program Coordinator,"Social, Benefit, and Employment Services",PF0171,PF01 - Public Programs,GP,200,20,76440,85347,0.90,-10
228,Social Services Program Officer,"Social, Benefit, and Employment Services",PF0172,PF01 - Public Programs,SS,200,21,89232,92731,0.96,-4
229,Social Services Program Administrator,"Social, Benefit, and Employment Services",PF0173,PF01 - Public Programs,SS,200,23,101795,90617,1.12,12
230,Disability Adjudicator Associate 2,"Social, Benefit, and Employment Services",PF0182,PF01 - Public Programs,GP,200,16,57974,52919,1.10,10
231,Disability Adjudicator 2,"Social, Benefit, and Employment Services",PF0184,PF01 - Public Programs,SS,200,20,83470,75095,1.11,11
232,"Chief, Disability Determination Services","Social, Benefit, and Employment Services",PF0186,PF01 - Public Programs,SS,200,22,95326,102032,0.93,-7
233,"Chief, Public Assistance Field Operations","Social, Benefit, and Employment Services",PF0193,PF01 - Public Programs,SS,200,22,95326,129099,0.74,-26
234,Protective Services Specialist 2,"Social, Benefit, and Employment Services",PF0202,PF02 - Social Work,GP,200,17,62069,66388,0.93,-7
235,Protective Services Specialist 4,"Social, Benefit, and Employment Services",PF0204,PF02 - Social Work,SS,200,20,83470,74658,1.12,12
236,Protective Services Manager 1,"Social, Benefit, and Employment Services",PF0205,PF02 - Social Work,SS,200,21,89232,91089,0.98,-2
237,Social Services Associate,"Social, Benefit, and Employment Services",PF0222,PF02 - Social Work,GP,200,12,44402,49484,0.90,-10
238,Civil Rights Programs and Compliance Specialist 1,"Social, Benefit, and Employment Services",PF0301,PF03 - Special Social Service,GP,200,15,53957,67117,0.80,-20
239,Civil Rights Programs and Compliance Specialist 2,"Social, Benefit, and Employment Services",PF0302,PF03 - Special Social Service,SS,200,17,67995,93538,0.73,-27
240,Civil Rights Programs and Compliance Specialist 3,"Social, Benefit, and Employment Services",PF0303,PF03 - Special Social Service,SS,200,19,78000,100659,0.77,-23
241,Human Rights Field Representative 3,"Social, Benefit, and Employment Services",PF0323,PF03 - Special Social Service,XE,N00,18,68543,91828,0.75,-25
242,Human Rights Field Representative 4,"Social, Benefit, and Employment Services",PF0324,PF03 - Special Social Service,XE,N00,20,78254,125351,0.62,-38
243,Senior Services Technician,"Social, Benefit, and Employment Services",PF0341,PF03 - Special Social Service,GP,200,12,44402,51099,0.87,-13
244,Public Guardian 2,"Social, Benefit, and Employment Services",PF03A2,PF03 - Special Social Service,GP,200,18,66788,71106,0.94,-6
245,Public Guardian 4,"Social, Benefit, and Employment Services",PF03A4,PF03 - Special Social Service,SS,200,22,95326,84472,1.13,13
246,Vocational Rehabilitation Assistant 2,"Social, Benefit, and Employment Services",PF0412,PF04 - Vocational Rehabilitation,GP,200,12,44402,46037,0.96,-4
247,Vocational Rehabilitation Counselor 2,"Social, Benefit, and Employment Services",PF0432,PF04 - Vocational Rehabilitation,GP,200,17,62069,69915,0.89,-11
248,Vocational Rehabilitation Manager,"Social, Benefit, and Employment Services",PF0460,PF04 - Vocational Rehabilitation,SS,200,21,89232,122694,0.73,-27
249,"Chief, Vocational Rehabilitation Services","Social, Benefit, and Employment Services",PF0472,PF04 - Vocational Rehabilitation,SS,200,23,101795,125742,0.81,-19
250,Employment Security Analyst 2,"Social, Benefit, and Employment Services",PF0512,PF05 - Labor and Employment Services,GP,200,17,62069,60737,1.02,2
251,Employment Services Technician 2,"Social, Benefit, and Employment Services",PF0522,PF05 - Labor and Employment Services,GP,200,15,53957,54811,0.98,-2
252,Unemployment Insurance Technician 1,"Social, Benefit, and Employment Services",PF0526,PF05 - Labor and Employment Services,GP,200,14,50466,47281,1.07,7
253,Employment Services Manager 1,"Social, Benefit, and Employment Services",PF0531,PF05 - Labor and Employment Services,GP,200,16,57974,78372,0.74,-26
254,Field Auditor 1,"Social, Benefit, and Employment Services",PF0541,PF05 - Labor and Employment Services,GP,200,16,57974,57744,1.00,0
